,time,open,high,low,close,volume
0,2021-02-17 20:00:00,46.1999,46.45,46.17,46.45,16394
1,2021-02-17 19:30:00,46.0801,46.25,46.0801,46.24,2989
2,2021-02-17 19:00:00,46.25,46.25,46.1,46.1,4796
3,2021-02-17 18:30:00,46.13,46.4,46.08,46.2,11222
4,2021-02-17 18:00:00,46.0,46.45,46.0,46.28,23431
5,2021-02-17 17:30:00,45.9,45.94,45.76,45.94,8357
6,2021-02-17 17:00:00,46.0,46.1,45.61,45.7801,22527
7,2021-02-17 16:30:00,45.58,46.01,45.58,45.89,28745
8,2021-02-17 16:00:00,45.74,46.49,45.37,45.845,1073173
9,2021-02-17 15:30:00,45.3621,45.89,45.05,45.74,592001
10,2021-02-17 15:00:00,44.946,45.97,44.56,45.5151,908128
11,2021-02-17 14:30:00,46.0901,46.34,44.5696,44.955,1099156
12,2021-02-17 14:00:00,46.58,46.833,46.02,46.0801,385383
13,2021-02-17 13:30:00,46.71,46.97,46.3,46.68,334214
14,2021-02-17 13:00:00,46.57,46.85,46.4,46.7125,190188
15,2021-02-17 12:30:00,47.14,47.15,46.28,46.66,294513
16,2021-02-17 12:00:00,46.9,47.23,46.22,47.1271,529556
17,2021-02-17 11:30:00,47.9,48.05,46.3,46.895,663513
18,2021-02-17 11:00:00,47.61,48.32,47.6,47.925,346163
19,2021-02-17 10:30:00,47.795,48.44,47.49,47.61,807370
20,2021-02-17 10:00:00,49.77,51.19,47.45,47.79,1788884
21,2021-02-17 09:30:00,49.53,49.68,49.4,49.61,25937
22,2021-02-17 09:00:00,49.29,49.9,49.27,49.5201,20139
23,2021-02-17 08:30:00,49.9734,50.1,49.1,49.2,27290
24,2021-02-17 08:00:00,49.58,49.58,49.15,49.21,4421
25,2021-02-17 07:30:00,49.5,50.07,49.33,49.53,11217
26,2021-02-17 07:00:00,49.13,49.13,49.13,49.13,773
27,2021-02-17 06:30:00,49.13,49.13,49.13,49.13,517
28,2021-02-17 06:00:00,49.5,49.5,49.5,49.5,424
29,2021-02-17 05:30:00,49.51,49.51,49.2,49.2,1033
30,2021-02-17 05:00:00,49.21,49.25,49.18,49.25,1499
31,2021-02-17 04:30:00,50.0,50.1,49.15,49.4,5100
32,2021-02-16 20:00:00,49.27,49.39,49.27,49.37,10765
33,2021-02-16 19:30:00,49.31,49.4299,49.25,49.3,5941
34,2021-02-16 19:00:00,49.28,49.46,49.25,49.4,6659
35,2021-02-16 18:30:00,49.12,49.28,49.11,49.28,9216
36,2021-02-16 18:00:00,49.11,49.29,49.1,49.11,14889
37,2021-02-16 17:30:00,49.35,49.35,49.15,49.15,17953
38,2021-02-16 17:00:00,49.59,50.0,49.15,49.27,59521
39,2021-02-16 16:30:00,49.51,49.7,49.31,49.59,28809
40,2021-02-16 16:00:00,49.5,49.8407,49.34,49.5,527518
41,2021-02-16 15:30:00,49.34,49.66,49.1709,49.535,245443
42,2021-02-16 15:00:00,49.28,49.7299,49.12,49.25,310885
43,2021-02-16 14:30:00,49.4399,49.74,49.04,49.2693,430417
44,2021-02-16 14:00:00,50.56,51.15,49.12,49.37,1001021
45,2021-02-16 13:30:00,49.74,50.67,49.6,50.56,402339
46,2021-02-16 13:00:00,49.9475,50.153,49.5177,49.8118,306900
47,2021-02-16 12:30:00,49.61,50.0399,49.1,49.8986,434462
48,2021-02-16 12:00:00,49.9,50.6,49.51,49.61,516587
49,2021-02-16 11:30:00,50.54,50.85,49.75,50.0,522272
50,2021-02-16 11:00:00,51.2,51.34,49.81,50.5,798902
51,2021-02-16 10:30:00,51.37,52.87,50.4123,51.11,1080810
52,2021-02-16 10:00:00,52.66,53.5,51.05,51.39,1232621
53,2021-02-16 09:30:00,52.25,52.7408,51.8,52.64,52550
54,2021-02-16 09:00:00,52.49,52.5499,52.05,52.4,17899
55,2021-02-16 08:30:00,52.6784,53.45,52.0,52.4,76881
56,2021-02-16 08:00:00,52.8,53.6,52.66,53.24,19837
